0,39324,48.19,1938
1,39765,86.38,1459
2,39824,69.39,1417
3,38957,14.24,2338
4,39314,43.11,1953
5,40355,140.62,815
6,39555,55.08,1700
7,39363,43.17,1904
8,40570,291.70,450
9,39683,62.17,1565
10,40092,102.58,1116
11,40251,120.22,939
12,39378,47.02,1885
13,39802,83.13,1425
14,39883,90.25,1337
15,39137,40.54,2132
16,39149,29.23,2131
17,39540,67.10,1703
18,40379,204.66,727
19,39239,37.29,2033
20,40464,246.49,601
21,40210,130.10,970
22,39315,41.61,1953
23,39960,93.48,1257
24,39714,62.21,1534
25,39304,53.64,1952
26,39664,65.59,1580
27,39066,28.90,2215
28,40021,106.58,1183
29,39917,101.65,1292
30,40395,268.93,648
31,40309,170.63,831
32,40430,202.17,679
33,39295,41.04,1974
34,39314,47.42,1948
35,40074,136.71,1100
36,38951,24.20,2334
37,38877,13.20,2419
38,40216,127.04,967
39,39632,56.29,1622
