0,11605,13.39,7
1,6370,15.61,15
2,11605,13.73,7
3,8871,14.67,10
4,23860,8.47,2
5,11605,13.65,7
6,16774,11.09,4
7,10524,14.10,8
8,14605,13.22,5
9,12933,13.24,6
10,6751,15.51,14
11,23859,10.46,2
12,30247,8.05,1
13,16774,12.61,4
14,14605,12.89,5
15,23860,8.72,2
16,14606,11.67,5
17,8871,14.45,10
18,7667,14.75,12
19,30246,8.53,1
20,6751,14.80,14
21,12934,12.29,6
22,30249,5.16,1
23,14606,12.07,5
24,11605,13.39,7
25,8871,13.83,10
26,19699,11.76,3
27,16774,11.91,4
28,10524,13.22,8
29,7180,15.12,13
30,12933,13.78,6
31,8871,13.76,10
32,6030,15.43,16
33,41303,6.33,0
34,5198,15.88,19
35,9627,13.82,9
36,19699,11.14,3
37,4969,15.29,20
38,5198,15.64,19
39,30249,5.16,1
