0,32730,7.49,8572
1,33273,7.90,8028
2,37575,33.06,3702
3,37585,34.10,3691
4,36795,26.22,4488
5,32986,7.65,8316
6,34330,11.92,6967
7,38446,49.67,2814
8,38661,55.60,2593
9,34546,12.60,6751
10,34272,11.90,7026
11,36797,26.72,4486
12,38510,51.71,2748
13,38703,57.89,2549
14,32812,7.68,8490
15,37432,30.57,3847
16,38095,42.52,3172
17,31569,5.08,9735
18,38196,42.63,3071
19,31188,3.64,10118
20,38590,49.84,2670
21,36889,27.63,4393
22,38720,58.51,2531
23,36081,20.83,5208
24,33960,10.85,7339
25,31131,4.13,10174
26,35127,15.39,6167
27,38271,45.77,2993
28,34613,12.74,6684
29,37256,29.65,4024
30,37338,28.15,3943
31,37338,31.02,3941
32,31977,5.76,9327
33,38211,43.32,3055
34,38152,43.25,3114
35,34908,13.46,6388
36,31378,3.67,9928
37,31013,2.97,10293
38,39386,69.22,1855
39,31590,5.02,9714
