0,30249,5.00,1
1,11605,13.86,7
2,30246,9.26,1
3,8871,14.37,10
4,16774,12.61,4
5,19699,11.31,3
6,14606,12.71,5
7,19699,11.07,3
8,30246,8.69,1
9,23859,9.18,2
10,23860,8.47,2
11,19699,10.80,3
12,23860,7.56,2
13,14606,12.71,5
14,19699,10.08,3
15,16775,10.42,4
16,30248,6.00,1
17,41303,6.33,0
18,16775,10.60,4
19,19699,12.03,3
20,8871,14.82,10
21,19699,10.70,3
22,19698,12.07,3
23,30249,4.74,1
24,8871,13.76,10
25,30246,9.26,1
26,23859,10.63,2
27,11605,14.22,7
28,30249,5.37,1
29,19700,9.33,3
30,23860,7.56,2
31,23859,10.80,2
32,41305,3.88,0
33,30246,9.00,1
34,16774,12.41,4
35,30249,5.16,1
36,30249,5.21,1
37,7667,14.97,12
38,23860,7.77,2
39,19699,10.70,3
