0,16775,9.63,4
1,30247,7.11,1
2,23861,7.06,2
3,23861,6.98,2
4,11606,11.11,7
5,16775,10.51,4
6,8226,12.41,11
7,30249,4.11,1
8,41305,4.10,0
9,9628,11.98,9
10,12934,11.55,6
11,30249,4.63,1
12,11605,11.55,7
13,19700,9.60,3
14,30247,7.37,1
15,14606,10.17,5
16,30248,6.37,1
17,23860,7.97,2
18,19700,8.47,3
19,30248,6.37,1
20,10524,12.14,8
21,10524,12.09,8
22,19700,7.92,3
23,30249,5.21,1
24,11606,10.67,7
25,30249,4.74,1
26,23861,6.35,2
27,30248,6.16,1
28,30249,5.37,1
29,23860,7.56,2
30,11606,10.67,7
31,30249,5.37,1
32,23860,7.77,2
33,30248,5.90,1
34,41308,1.29,0
35,19699,10.08,3
36,10524,11.67,8
37,10525,10.99,8
38,41304,5.18,0
39,30249,4.21,1
